date,spbmv_vix
28/04/20,15.96
29/04/20,15.86
30/04/20,16.14
04/05/20,16.06
05/05/20,16.01
06/05/20,15.81
07/05/20,15.91
08/05/20,15.33
11/05/20,15.18
12/05/20,15.19
13/05/20,15.81
14/05/20,15.93
15/05/20,16.18
18/05/20,15.65
19/05/20,16.47
20/05/20,16.6
21/05/20,16.89
22/05/20,16.95
25/05/20,16.53
26/05/20,15.92
27/05/20,14.89
28/05/20,15.26
29/05/20,15.64
01/06/20,14.6
02/06/20,13.82
03/06/20,12.7
04/06/20,13.6
05/06/20,13.25
08/06/20,11.62
09/06/20,12.22
10/06/20,13.68
11/06/20,15.78
12/06/20,14.41
15/06/20,14.76
16/06/20,15.27
17/06/20,15.38
18/06/20,15.98
19/06/20,16.69
22/06/20,17.14
23/06/20,16.75
24/06/20,16.8
25/06/20,16.92
26/06/20,17.46
29/06/20,16.66
30/06/20,16.72
01/07/20,16.89
02/07/20,16.11
03/07/20,15.78
06/07/20,16.03
07/07/20,15.52
08/07/20,15.85
09/07/20,15.96
10/07/20,16.46
13/07/20,15.82
14/07/20,16.07
15/07/20,15.71
16/07/20,15.31
17/07/20,15.31
20/07/20,14.62
21/07/20,14.6
22/07/20,13.36
23/07/20,13.81
24/07/20,13.83
27/07/20,13.49
