state,date,imaief_cons,imaief_actsec,imaief_manf,imaief_minr,imaief_cons_base,imaief_actsec_base,imaief_manf_base,imaief_minr_base,naim,covid,period,time_to_treat
Ciudad de México,2012-09-01,114.27350427350427,103.58785648574056,97.38118331716781,110.14729950900164,117,108.7,103.1,122.2,0,0,33,-74
Ciudad de México,2012-10-01,112.56410256410257,106.07175712971481,102.81280310378274,112.27495908346971,117,108.7,103.1,122.2,0,0,34,-73
Ciudad de México,2012-11-01,104.87179487179488,101.28794848206071,99.61202715809894,96.15384615384616,117,108.7,103.1,122.2,0,0,35,-72
Ciudad de México,2012-12-01,89.23076923076924,90.7083716651334,92.04655674102814,81.83306055646482,117,108.7,103.1,122.2,0,0,36,-71
Ciudad de México,2013-01-01,80.17094017094017,89.88040478380864,97.090203685742,76.92307692307692,117,108.7,103.1,122.2,0,0,37,-70
Ciudad de México,2013-02-01,94.18803418803418,91.53633854645814,90.00969932104753,85.8428805237316,117,108.7,103.1,122.2,0,0,38,-69
Ciudad de México,2013-03-01,82.64957264957266,87.67249310027599,91.27061105722599,84.69721767594109,117,108.7,103.1,122.2,0,0,39,-68
Ciudad de México,2013-04-01,82.13675213675214,88.9604415823367,93.8894277400582,79.62356792144026,117,108.7,103.1,122.2,0,0,40,-67
Ciudad de México,2013-05-01,88.03418803418803,94.20423183072677,98.93307468477207,85.27004909983633,117,108.7,103.1,122.2,0,0,41,-66
Ciudad de México,2013-06-01,84.78632478632478,95.03219871205151,102.81280310378274,86.98854337152208,117,108.7,103.1,122.2,0,0,42,-65
Ciudad de México,2013-07-01,85.98290598290598,92.73229070837165,97.76915615906887,84.28805237315875,117,108.7,103.1,122.2,0,0,43,-64
Ciudad de México,2013-08-01,77.52136752136752,90.24839006439743,99.4180407371484,76.2684124386252,117,108.7,103.1,122.2,0,0,44,-63
Ciudad de México,2013-09-01,79.48717948717949,88.59245630174793,95.53831231813773,70.04909983633387,117,108.7,103.1,122.2,0,0,45,-62
